judul,date,bulan,tahun
"Warga Boalemo, Gorontalo Positif Corona ",2020-04-01,april,2020
Karantina Wilayah di Pekanbaru pada Tanggal 7 April 2020 Selama 20 Hari ,2020-04-01,april,2020
Warga Jakarta Saling Memberikan Semangat di Balkon Apartemen ,2020-04-01,april,2020
Video Penutupan Jalan di Rawa Bokor karena Zona Merah ,2020-04-01,april,2020
Surat Edaran Mengatasnamakan Dinas Kesehatan Kota Tasikmalaya Tentang Rekomendasi dan ,2020-04-01,april,2020
Gubernur Anies Terpapar Virus Corona ,2020-04-01,april,2020
Pembunuhan Massal Berkedok Virus Corona ,2020-04-01,april,2020
Salah Satu Warga JMangga Besar Kelapa Tujuh Kotabumi positif Covid-19 ,2020-04-01,april,2020
"Tagar #LuhutPengkhianatRI Trending di Twitter, Luhut Malu sama Keluarga di Rumah ",2020-04-01,april,2020
"Video ""Ini Lockdown di Spanyol"" ",2020-04-01,april,2020
Foto Uang yang Dibuang oleh Warga Italia di Tengah Pandemi Corona ,2020-04-01,april,2020
Jakarta menjadi Daerah Paling Banyak Terinfeksi Virus Covid-19 karena Salah Pilih Gubernur ,2020-04-01,april,2020
Jenazah Positif Corona Menumpuk di RSHS Bandung ,2020-04-01,april,2020
Air Alkali dapat Membunuh Virus Corona ,2020-04-01,april,2020
"Satu Keluarga Kena Corona, Tinggal di Bintaro Sektor 2 ",2020-04-01,april,2020
"Video ""Wanita Paruh Baya Korban Perampokan Dengan Berpura-pura Penyemprotan Virus ",2020-04-01,april,2020
Satu Warga di Wilayah Kelurahan Sukawarna Kota Bandung Positif Virus Corona ,2020-04-01,april,2020
Lima Warga Kampung Malang Pandegiling Dikabarkan Positif Covid-19 ,2020-04-01,april,2020
Foto Prosesi Pemakaman Ibunda Jokowi Tidak Dimandikan dan Tidak Dishalati Karena ,2020-04-01,april,2020
Pria di Binjai Positif Corona Melarikan Diri dan Jadi Buronan ,2020-04-01,april,2020
Pendataan Resmi Calon Penerima Kartu Prakerja oleh Kemnaker ,2020-04-01,april,2020
Anggaran Penanganan Corona di DKI Jakarta Hanya 130 Miliar ,2020-04-01,april,2020
Besok 4 April Kota Cirebon Lockdown ,2020-04-01,april,2020
Potret Bentuk Virus Covid-19 yang Berhasil Diperbesar Oleh Ilmuwan India ,2020-04-01,april,2020
Video Saddam Hussein Mendiskusikan Covid-19 ,2020-04-01,april,2020
"Video “Italian millionaire terjun Dari bagunan, karena keluarganya semua kena virus ",2020-04-01,april,2020
"Pasien Positif Corona di RSUD Mulia, Puncak Jaya Papua ",2020-04-01,april,2020
Foto Anies Marah dan Jokowi Akui Dirinya Jongos Tiongkok ,2020-04-01,april,2020
"Pasar Citraland Tutup 10 Hari, Pasar Genteng 7 Hari ",2020-04-01,april,2020
Ungkapan Bahagia Gubernur Lampung Untuk Perantau dan Informasi Penutupan Bakauheni 7 ,2020-04-01,april,2020
Foto Gapura Perbatasan Lamongan-Gresik Dibarikade Bambu ,2020-04-01,april,2020
Pesan Berantai Bantuan Dana dari Kominfo untuk Masyarakat Terdampak Covid-19 ,2020-04-01,april,2020
Cover Majalah Tempo Edisi 1-7 April 2020 Dalam Bayang-Bayang Luhut ,2020-04-01,april,2020
Beberapa Dokter RS Panti Rapih Yogyakarta Tidak Praktek ,2020-04-01,april,2020
Pasien Virus Corona dalam Kapal KM Niki Sejahtera di Pelabuhan Laut Ende ,2020-04-01,april,2020
Italia Tidak Bisa Mengontrol Virus dan Mengucapkan Selamat Tinggal kepada Dunia ,2020-04-01,april,2020
Penangkapan Profesor Harvard Pembuat Virus Covid-19 ,2020-04-01,april,2020
Foto “Dampak 16 Hari Lockdown di Italia” ,2020-04-01,april,2020
Pernyataan Menteri Keuangan RI Terkait Listrik Gratis dan Diskon ,2020-04-01,april,2020
Satu Warga Terinfeksi Virus Corona Di Kecamatan Baraka Kabupaten Enrekang ,2020-04-01,april,2020
Pasien Covid-19 Kabur dari RS Wahidin Makassar ,2020-04-01,april,2020
Data 8 Warga Pasuruan Positif Corona ,2020-04-01,april,2020
"Senin 6 April 2020, Kota Jayapura akan Dinaikkan Statusnya Menjadi Tanggap Darurat ",2020-04-01,april,2020
Gereja Imanuel Tetap Akan Melaksanakan Paskah ,2020-04-01,april,2020
"Perempuan Tergeletak di Harcomas Mangga, Terkena Virus Covid-19 ",2020-04-01,april,2020
Gereja Minta di Azankan Karena Corona Tidak Aktif Bila Mendengar Suara Azan ,2020-04-01,april,2020
Virus Corona di India Disebarkan oleh Masyarakat Muslim dari Beberapa Negara ,2020-04-01,april,2020
Video “ITALIA bergema takbir aamiin” ,2020-04-01,april,2020
Puluhan Hotel di Bali Dijual Karena Terdampak Pandemi Virus Corona ,2020-04-01,april,2020
Puluhan Gedung SD Di Ponorogo Dijadikan Tempat Isolasi Pemudik ,2020-04-01,april,2020
"OPS Simpatik 2020 ""Tidak Berboncengan untuk Memutus Mata Rantai Covid-19"" ",2020-04-01,april,2020
Perampokan Sadis di Muara Karang ,2020-04-01,april,2020
E-KTP Mulai 1 April Dapat Kompensasi Rp 25000 ,2020-04-01,april,2020
Beredar Pamflet Jadwal Imsakiyah Ramadhan 1441 Hijriyah Makassar ,2020-04-01,april,2020
Ajudan Gubernur Kaltara Terpapar Corona ,2020-04-01,april,2020
"Modus Menghabisi Ulama, 5000 Ustadz Akan Disuntik Covid-19 Sampai Mati ",2020-04-01,april,2020
"Kasus Positif Corona Masih Puluhan, Malaysia Berlakukan Lockdown ",2020-04-01,april,2020
Menteri Agama Izinkan Masjid Gelar Salat Tarawih dan Buka Puasa Bersama ,2020-04-01,april,2020
Fasilitas Khusus Untuk TKA Siluman China ,2020-04-01,april,2020
Video Donald Trump Diruqyah karena Stres Menghadapi Pandemi Covid-19 ,2020-04-01,april,2020
Cepu di Lockdown Kendaraan dari Arah Jatim Dipersilahkan Putar Balik ,2020-04-01,april,2020
PLN Diam-diam Menaikkan Listrik Non Subsidi ,2020-04-01,april,2020
Penambahan Kasus Positif Covid-19 di Kabupaten Kotawaringin Timur ,2020-04-01,april,2020
Pesan Berantai Wilayah Penatih Denpasar Ditutup ,2020-04-01,april,2020
"Pesan Berantai WhatsApp ""SITUBONDO LOCKDOWN"" ",2020-04-01,april,2020
"Akun Facebook Mengatasnamakan Walikota Pekanbaru, Bapak Firdau",2020-04-01,april,2020
Jalan Sampangan Semarang Ditutup Akibat Corona ,2020-04-01,april,2020
Pesan Berantai 200 Napi Lapas Magelang Dibebaskan Tanpa Melalui Tahap Seleksi ,2020-04-01,april,2020
Kapal Queen Soya Bermuatan TKA China Masuk Pelabuhan Samarinda ,2020-04-01,april,2020
Video Aksi Corona Jihad ,2020-04-01,april,2020
Makassar Zona Merah (Covid-1Warga Luar Dilarang Masuk ,2020-04-01,april,2020
Razia Pengendara Motor yang Tidak Pakai Masker ,2020-04-01,april,2020
Presiden Erdogan Sebut Tak Ada Masjid yang Ditutup di Turki Saat Wabah Covid-19 ,2020-04-01,april,2020
Himbauan Kepala DKK Jepara Terkait Warga Sekuro Terindikasi  Terkena Covid-19 ,2020-04-01,april,2020
Operasi Semeru 2020 Polres Mojokerto Kenakan Denda bagi Pengendara Tidak Pakai Masker ,2020-04-01,april,2020
Tarif Listrik Nonsubsidi Naik 100 Persen karena Subsidi Silang ,2020-04-01,april,2020
Peduli Covid-19 Pertamina Turunkan Harga BBM Hingga 50 Persen ,2020-04-01,april,2020
Pasien PDP Corona Kabur dari RS Undata ,2020-04-01,april,2020
Ajakan 3 Hari untuk Tidak Keluar Rumah ,2020-04-01,april,2020
Video Polisi Australia Tangkap Perempuan China karena Meludahi Sayuran ,2020-04-01,april,2020
Perampokan di Tidar Surabaya ,2020-04-01,april,2020
Satpol PP Palangkaraya Menyisir Anak Punk Positif Corona ,2020-04-01,april,2020
Alat Ini Sudah Di- Setting Suhu 36-37°C Oleh Komunis China untuk Membunuh Para Ulama ,2020-04-01,april,2020
Wakil Gubernur DKI Jakarta Ahmad Riza Patria Ex Narapidana ,2020-04-01,april,2020
Lokasi Karantina Corona untuk TKI dari Luar Negeri yang Pulang ke Jawa Timur ,2020-04-01,april,2020
PT KAI Batalkan Seluruh Perjalanan Jakarta selama PSBB ,2020-04-01,april,2020
Penutupan Pasar di Soppeng selama Tiga Hari ,2020-04-01,april,2020
Pesan Mengatasnamakan dari Polresta Yogyakarta Waspada Pasca Asimilasi Napi di Yogya ,2020-04-01,april,2020
Luhut Bilang Pemerintah Tak Peduli bila Rakyat Meninggal ,2020-04-01,april,2020
Baturaja Lockdown Mulai 10 April Selama 14 Hari ,2020-04-01,april,2020
Pasien RSUD Meranti Positif Covid 19 Riwayat Perjalanan Dari Jakarta Warga Kampung Baru ,2020-04-01,april,2020
Kupang Lockdown Selama Tiga Hari ,2020-04-01,april,2020
Razia Masker di Cilacap Tidak Pakai Masker Denda Rp 50 Ribu ,2020-04-01,april,2020
Video Warga Italia Sujud Berjamaah Gara-Gara Corona ,2020-04-01,april,2020
Video Driver Mitra Grab Kembalikan Mobil di Pool Cinere ,2020-04-01,april,2020
Uang Tunai dalam Paket Bansos PSBB Covid-19 DKI Jakarta ,2020-04-01,april,2020
Jus Pare Bisa Menyembuhkan Virus Corona ,2020-04-01,april,2020
"PSBB Selama 3 hari Kedepan, Akses Jalan Purwakarta akan Ditutup ",2020-04-01,april,2020
"Lagu “Corona” dari Bimbo, Lagu 30 Tahun yang Lalu Jadi Kenyataan ",2020-04-01,april,2020
Surat Himbauan dari Dinas Kesehatan Kota Batam ,2020-04-01,april,2020
"RSUD Wangaya Kehabisan Masker dan ABD, juga Permohonan Bantuan Mengatasnamakan ",2020-04-01,april,2020
"Viral Pasien Positif Covid-19 Kabur Tidak Kooperatif di Tiban, Batam ",2020-04-01,april,2020
Mengatasnamakan PT MOSI Bekerjasama dengan BUMN Mendatangkan Alat Rapid Test ,2020-04-01,april,2020
Info Aksi Pemalakan di Ruas Jalan Bandung ,2020-04-01,april,2020
Makassar Lockdown Tiga Hari ,2020-04-01,april,2020
"Tadi Malam di Amerika Serikat, Sholat Magrib Berjamaah di Masjid sampai Tumpah Ruah di Jalan ",2020-04-01,april,2020
Pasien Positif Corona Ponorogo Meninggal ,2020-04-01,april,2020
DCheng Bilang Berdasarkan Pengalamannya Menangani Pasien Covid-19 Cukup Pakai ,2020-04-01,april,2020
Video Viral Seseorang Jadi Korban Begal di Jakarta Utara ,2020-04-01,april,2020
Adidas Bagi-bagi Sepatu Gratis untuk Lawan Covid-19 ,2020-04-01,april,2020
"Ada 1 Warga Meninggal Positif Covid-19, Bupati Klaten Tetapkan Juwiring Zona Merah ",2020-04-01,april,2020
"Link ""Pemerintah Berikan Internet Gratis"" ",2020-04-01,april,2020
Akhirnya Amerika Tunduk dengan China ,2020-04-01,april,2020
Daftar Nama Pasien Dokter Terkonfirmasi Covid-19 di Bangkalan ,2020-04-01,april,2020
Dokter di Italia Sengaja Membunuh 3000 Orang Pasien Corona ,2020-04-01,april,2020
Video Letusan Gunung Anak Krakatau 10 April 2020 ,2020-04-01,april,2020
"Pesan Berantai Penerapan PSBB, Kendaraan Dilarang Masuk Depok ",2020-04-01,april,2020
Ada Warga Positif Corona Berkeliaran di Perempatan Gianyar ,2020-04-01,april,2020
Anak-Anak yang Keluar Rumah Selama PSBB Diberi Sanksi Kurungan 3 Bulan dan KJP Dicabut ,2020-04-01,april,2020
Hujan Es Sebesar Bola Tenis di Tawangmangu ,2020-04-01,april,2020
Pemadaman Listrik di Jakarta Selatan Akibat Ledakan Kabel Tanah ,2020-04-01,april,2020
Anies akan Bagi Rata Virus Corona untuk Setiap Rumah ,2020-04-01,april,2020
Presiden Jokowi Bagi-bagi Sembako Sabtu Malam di Istana Bogor ,2020-04-01,april,2020
Polisi Italia Menangkap Lansia Karena Keluar Rumah ,2020-04-01,april,2020
Kisah Kehidupan Nyata Sofia dan Antonio yang Bekerja sebagai Perawat di Italia ,2020-04-01,april,2020
Ada Warga Meninggal di Dalam Mobil Indomaret Arcamanik ,2020-04-01,april,2020
Penghadangan Truk Sembako oleh Ojol di Surabaya ,2020-04-01,april,2020
Akun Instagram Mengatasnamakan BNPB Meminta Sumbangan Dana ,2020-04-01,april,2020
"Akun Media Sosial ""Erick Thohir For President 2024"" ",2020-04-01,april,2020
Anggaran Bansos PSBB DKI Jakarta Berpotensi Dikorupsi ,2020-04-01,april,2020
Presiden Jokowi Keluarkan Kartu Corona Indonesia Sehat (KARCI,2020-04-01,april,2020
Hotman Paris Berencana Undang BTS dan EXO setelah Virus Corona Teratasi ,2020-04-01,april,2020
Setya Novanto Dibebaskan karena COVID-19 ,2020-04-01,april,2020
Video TKA China Terus Berdatangan ke Indonesia ,2020-04-01,april,2020
Informasi Penembakan di Perum Monjali Sleman ,2020-04-01,april,2020
Gubernur Anies Sibuk Korupsi Uang Sembako di Tengah Kepanikan Warga DKI ,2020-04-01,april,2020
PUSKESAD Tawarkan Sejumlah Alat Medis untuk Dijual ,2020-04-01,april,2020
Tidur Siang Setelah Melahirkan Dapat Menyebabkan Darah Putih Naik Ke Mata ,2020-04-01,april,2020
Video Korban Begal di Jalan Ciwaruga ,2020-04-01,april,2020
Akun Facebook Mengatasnamakan Wakil Bupati Cilacap ,2020-04-01,april,2020
Selebaran Dinkes Jatim Jual Paket Sembako Murah ,2020-04-01,april,2020
TVRI Tayangkan Sepasang Anak Berbusana Muslim dalam Program Mimbar Agama Katolik ,2020-04-01,april,2020
Sejumlah Polisi India Tiba di Indonesia ,2020-04-01,april,2020
Xi Jinping Sebut Hanya RI yang Mampu Kendalikan COVID-19 ,2020-04-01,april,2020
Donald Trump Buka Sidang dengan Bacaan Al-Qur’an ,2020-04-01,april,2020
Shopee Impor Satu Juta Masker Untuk BNPB ,2020-04-01,april,2020
Pasar Tebet Barat Ditutup Total karena Kabar Pemilik Salah Satu Toko Meninggal Positif ,2020-04-01,april,2020
Pemakaman PDP (Covid-1di Gambut Sempat Ditolak ,2020-04-01,april,2020
Analisis Kondisi Perbankan Akibat Dampak Virus Corona OJK ,2020-04-01,april,2020
Pasien Positif Corona di Kota Salatiga adalah Pemilik Toko Topsy Istana Busana ,2020-04-01,april,2020
Warga Bandung Yang Tidak Menggunakan Masker Jika Keluar Rumah atau ,2020-04-01,april,2020
000 Rupiah ,2020-04-01,april,2020
Raja Salman Dirawat Intensif Karena Covid-19 ,2020-04-01,april,2020
Video Jenazah Muslim di New York yang Meninggal Karena Corona ,2020-04-01,april,2020
Pesan Berantai Berisi Hasil Rapat Disdagin Terkait Pelaksanaan PSBB di Kota Bandung ,2020-04-01,april,2020
File PDF Data Pasien Positif Covid-19 Surabaya di WhatsApp ,2020-04-01,april,2020
Garam Dapur NACL Dapat Melawan Virus Corona ,2020-04-01,april,2020
Aplikasi Edukasi Corona (PeduliLindungKemenkominfo Rawan Phising dan Malware ,2020-04-01,april,2020
Wanita di Rungkut Surabaya Tewas Dipukul Begal ,2020-04-01,april,2020
Surat Permohonan Bantuan Mengatasnamakan Badan Koordinasi Penanaman Modal ,2020-04-01,april,2020
Jembatan Barito Bapela Patah ,2020-04-01,april,2020
Video Rapat Program Buka Puasa DKI Jakarta Tahun Ini ,2020-04-01,april,2020
TKA China Masuk Kawasi Maluku Utara Tanpa Pengawasan Satgas Covid-19 Halsel ,2020-04-01,april,2020
Video Ariel Noah Jadi Relawan Medis Covid-19 di Rumah Sakit ,2020-04-01,april,2020
Foto Katak Mati Karena Corona ,2020-04-01,april,2020
Seorang Dokter di Tanjungpinang Bernama Dr Rowin Positif Corona ,2020-04-01,april,2020
Aplikasi Pendeteksi Suhu Tubuh ,2020-04-01,april,2020
"Setelah Virus Corona, Kini Terjadi Tsunami di Tiongkok ",2020-04-01,april,2020
Pesan Berantai Sabam Sirait Meninggal Dunia ,2020-04-01,april,2020
China Tuding Indonesia sebagai Sumber Virus Corona COVID-19 ,2020-04-01,april,2020
Artikel Berita Mengatasnamakan CNN Indonesia ,2020-04-01,april,2020
Ma'ruf Amin Imbau Mudik Lewat Tol Langit ,2020-04-01,april,2020
Foto Korban Begal yang Tangannya Putus di Lingkar Barat Sidoarjo ,2020-04-01,april,2020
Resep Teh Panas Dicampur Lemon dari Palestina untuk Sembuhkan Covid-19 ,2020-04-01,april,2020
Instruksi Bapak Bupati untuk Menutup Seluruh Jalan Desa di Mojogedang Karanganyar ,2020-04-01,april,2020
Seorang Nenek Hidup Sebatang Kara dan Memerlukan Bantuan di Kota Tangerang ,2020-04-01,april,2020
"ATM Jadi Tempat Tertinggi Penularan Corona, Capai 70% ",2020-04-01,april,2020
Pesan Berantai Aksi Begal di Colomadu Karanganyar saat Corona ,2020-04-01,april,2020
46285 Pasukan TNI dan Polri di Papua Positif Covid 19 dan Banyak Yang Meninggal Dunia ,2020-04-01,april,2020
"FBI Menggerebek Sinagoge Yahudi di New York, Tempat Orang Yahudi Menyembunyikan Ribuan ",2020-04-01,april,2020
Pegawai BNI Teuku Umar Meninggal karena Positif Covid-19 ,2020-04-01,april,2020
RSUD Waluyo Jati  Ditutup karena Para Petugas Diisolasi Terkait Covid-19 ,2020-04-01,april,2020
Jokowi Bingung Sejumlah Pemimpin Negara Bicara Bahasa Inggris ,2020-04-01,april,2020
"Akun Palsu Bupati Kutai Kartanegara, Edi Damansyah Kirim Pesan Minta Kontak WhatsApp ",2020-04-01,april,2020
Luhut Perintahkan TNI-Polri Tangkap Pemda yang Tutup Bandara ,2020-04-01,april,2020
Perampokan di Ranch Market Pondok Indah ,2020-04-01,april,2020
Pesan Berantai Kejadian Pembegalan Terhadap Penumpang Taxi oleh Sekelompok Orang ,2020-04-01,april,2020
Kemenkop UMKM Beri Dana 200 Miliar ke Kaesang untuk Pelatihan UKM ,2020-04-01,april,2020
Heboh Penerima Pesan Stiker di WhatsApp Kena Tarif Rp 250 ,2020-04-01,april,2020
Ir Soekarno: Perjuanganmu akan Lebih Sulit Melawan Anak Saya ,2020-04-01,april,2020
"Kemunculan Hewan Aneh di Pekanbaru, Mirip Kelelawar tapi Bisa Berenang ",2020-04-01,april,2020
Pasien Positif COVID-19 di Natuna Berkeliaran ,2020-04-01,april,2020
Seorang Dokter Rs Ciremai Cirebon Meninggal Dunia Akibat Covid 19 ,2020-04-01,april,2020
Trump Tower Terbakar di Tengah Pandemi Covid-19 ,2020-04-01,april,2020
Camat Makale Sulawesi Selatan Positif Corona ,2020-04-01,april,2020
Video Warga Keluyuran di Atas Jam 2 Siang Diancam Pukul Rotan saat Penerapan PSBB ,2020-04-01,april,2020
"Setiap Keluarga di DKI Jakarta Diberi Bantuan Sebesar Rp 1,2 Juta ",2020-04-01,april,2020
Video Azan Pertama di Spanyol Setelah 500 Tahun Dilarang ,2020-04-01,april,2020
Perempuan Korban Perampokan di Baki Sukoharjo ,2020-04-01,april,2020
24 Orang yang Divonis Positif Corona Melarikan Diri dari UGD Puskesmas Kecamatan Tanjung ,2020-04-01,april,2020
"Mudik Lebaran Tidak Dilarang, Polri Siapkan Skenario dan Gelar Operasi Ketupat ",2020-04-01,april,2020
Puasa Ramadhan Disepakati Hanya 7 Hari Saja ,2020-04-01,april,2020
Bantu Lawan Covid-19 Alfamart Bagikan Voucher Rp 2 Juta ,2020-04-01,april,2020
Peneliti Korsel Dokter Kim Woo Joo Temukan Vaksin Covid-19 ,2020-04-01,april,2020
Pasien Positif Covid-19 Kabur dari Rumah Sakit Aloei Saboe Gorontalo ,2020-04-01,april,2020
Daftar Nomor Ponsel Polisi Pemburu Preman ,2020-04-01,april,2020
Foto Anies Baswedan Makan Bersama Tokoh Arab Saudi adalah Hasil Amateur Editor ,2020-04-01,april,2020
Suara Azan Dapat Melemahkan Virus Korona ,2020-04-01,april,2020
Masuk Tanpa Paspor dan Visa adalah Modus Pemerintahan Jokowi Membuat TKA China Menjadi ,2020-04-01,april,2020
Hujan Es di Cianjur ,2020-04-01,april,2020
Foto Anies Sibuk Main Bola Saat Pemerintah Sibuk Melawan Corona ,2020-04-01,april,2020
Korban Begal di Terminal Bratang Surabaya ,2020-04-01,april,2020
Tempat Karantina Covid-19 di Buniseuri Ciamis ,2020-04-01,april,2020
Akun Instagram Palsu Milik OJK ,2020-04-01,april,2020
BANSOS dari Anies juga Nyasar ke Kim Jong Un dan Donald Trump ,2020-04-01,april,2020
Terjadi Pembegalan di Jalan Bango Cilandak ,2020-04-01,april,2020
Penangkapan Begal di Watu Jago Bojonegoro ,2020-04-01,april,2020
139 Positif Pengidap Covid-19 (Jawa BaraTerbanyak  di Kota Bandung ,2020-04-01,april,2020
Dari Ratusan Ribu Tahanan Tidak Ada Satupun Aktivis Islam yang Dibebaskan di Tengah Wabah ,2020-04-01,april,2020
Kakek Positif Covid-19 Melawan Saat Dibawa Paksa ,2020-04-01,april,2020
Video Penjarahan di Mangga Dua Square ,2020-04-01,april,2020
Foto Korban Begal Tergeletak di Pinggir Jalan Kota Semarang ,2020-04-01,april,2020
Petugas Kebersihan SMAN 10 Yogyakarta Positif Corona ,2020-04-01,april,2020
Akun Facebook Bupati Mempawah Meminta Sumbangan ,2020-04-01,april,2020
Surat Email Mengatasnamakan Kapolri ke Perusahaan ,2020-04-01,april,2020
Pesan Berantai dari Sekda Singkawang Mengenai 4 Pasien Positif Covid-19 ,2020-04-01,april,2020
Pesan Berantai PSBB di Kota Serang Mulai 23 April 2020 ,2020-04-01,april,2020
"Stafsus Presiden Bobol Uang Negara Rp5,6 Triliun ",2020-04-01,april,2020
RSD Gunung Jati Tutup karena Petugas IGD Positif Covid-19 ,2020-04-01,april,2020
Pria di Palembang Ditangkap karena Maling Beras ,2020-04-01,april,2020
Video Kasus Begal di Jalan Raya Soekarno Hatta Kota Malang ,2020-04-01,april,2020
Foto Masyarakat New Zealand Belajar Wudhu ,2020-04-01,april,2020
Peta Sebaran Covid-19 di Kabupaten Situbondo ,2020-04-01,april,2020
Surat Bupati Kutai Barat Kepada Camat Dumai Prihal Bantuan Wabah Penyakit Covid-19 ,2020-04-01,april,2020
Akun Palsu Walikota Serang Syafrudin ,2020-04-01,april,2020
Surat Edaran Mengatasnamakan Walikota Bengkulu Helmi Hasan ,2020-04-01,april,2020
Warga Dipukuli Keluarga Ketua RT Saat Tanyakan Bansos ,2020-04-01,april,2020
Warga Hindu di India Buang Patung Dewa karena Corona ,2020-04-01,april,2020
Mayat Terpapar Virus Covid-19 Dibuang ke Laut ,2020-04-01,april,2020
Kim Jong-un Meninggal Dunia ,2020-04-01,april,2020
Kakak Adik di Tangerang Terjangkit Covid-19 Setelah Bermain Diluar Rumah ,2020-04-01,april,2020
Jasa Pengurusan Klaim JHT Mengatasnamakan BPJS Ketenagakerjaan ,2020-04-01,april,2020
Surat Undangan Doa Bersama Pengasuh Pesantren Mengatasnamakan Gubernur Jawa ,2020-04-01,april,2020
Video “Nasehat dari alErma Yunita Simamora yang meninggal pada tanggal ,2020-04-01,april,2020
Seorang Pria Melempar Laptop dan Membanting Televisi saat Menonton Wawancara ,2020-04-01,april,2020
Dua Rumah Sakit di Bontang Ditutup ,2020-04-01,april,2020
Tidak ada Pasien Positif Corona di Aceh ,2020-04-01,april,2020
Pesan Berantai Mengatasnamakan Kementerian Sosial Republik Indonesia ,2020-04-01,april,2020
Klaster Jabalsari Tulungagung Menyebar ke Sejumlah Desa ,2020-04-01,april,2020
Profesor Tasuku Honjo Peraih Nobel Sebut Corona Direkayasa Cina ,2020-04-01,april,2020
Pilkada 2020 Sumenep Siap Digelar ,2020-04-01,april,2020
"Gibran: Kata Bapak, Jadi Pemimpin Itu Tidak Perlu Pintar, Makanya Saya Akan ",2020-04-01,april,2020
Video Viral Keluarga di Medan Tak Makan Berhari-hari dan Diusir dari Kontrakan ,2020-04-01,april,2020
"Jokowi: Sengaja Saya Bedakan Mudik & Pulang Kampung, untuk Mengelabui Virus ",2020-04-01,april,2020
Foto Jenazah Kim Jong Un ,2020-04-01,april,2020
Maling Bobol Rumah Warga di Sukoharjo dan Beri Tanda XXX ,2020-04-01,april,2020
Pemberlakuan Lockdown Sumbar Mulai Senin 27 April 2020 ,2020-04-01,april,2020
Video Penjemputan Satu Keluarga yang Positif Covid-19 di Purwakarta ,2020-04-01,april,2020
"Pidato Lengkap Jokowi, Negara Kita Tidak Pernah Berutang, Hanya melakukan Pinjaman ",2020-04-01,april,2020
Pemudik Rela Bayar Rp 450 Ribu untuk Sembunyi di Bagasi Bus ,2020-04-01,april,2020
Pemberlakuan PSBB di Seluruh Wilayah Kabupaten Bangkalan Mulai Tanggal 28 April ,2020-04-01,april,2020
Bioskop di Palangka Raya Kembali Buka di Tengah Persebaran Covid-19 ,2020-04-01,april,2020
Pesan Berantai Aksi Balas Dendam Para Pembegal dan Geng Motor ,2020-04-01,april,2020
Kementerian BUMN Akan Melaporkan Seorang Politisi Atas Pencemaran Nama Baik ,2020-04-01,april,2020
Info PSBB dan Penutupan Jalan di Kota Banda Aceh dan Aceh Besar ,2020-04-01,april,2020
"Karena Pandemi COVID-19, yang Seharusnya Dibebaskan Narapidana Pencuri Ayam, ",2020-04-01,april,2020
Nasi Berisi Daging Anjing Dibagikan ke Warga Warakas ,2020-04-01,april,2020
Orang Italia Mulai Meminta Bantuan dari Allah ,2020-04-01,april,2020
Sebanyak 57 Tunawisma di Tanah Abang Dipindahkan Ke Gor Karet Tengsin untuk ,2020-04-01,april,2020
Polisi Jemput Paksa Pasien Corona di Kota Malang ,2020-04-01,april,2020
"Kecamatan Mananggu Masuk Zona Merah, Tiga Warga Sudah Terpapar Virus Corona ",2020-04-01,april,2020
Putra Mahkota Dubai Sheikh Hamdam Bagi-bagi Uang di Tengah Wabah Covid-19 ,2020-04-01,april,2020
Donasi Kaos Oblong Bekas untuk Tim Medis di RSD Wisma Atlet Kemayoran ,2020-04-01,april,2020
Ada Begal di Kawasan Flyover Manahan ,2020-04-01,april,2020
Penawaran Pengurusan Kelonggaran Pinjaman Mengatasnamakan Otoritas Jasa ,2020-04-01,april,2020
"Corona Merebak, Gibran Salahkan Rakyat tak Patuhi Aturan Pemerintah ",2020-04-01,april,2020
Dipermainkan Oleh Para Iblis Sudah Tertipu Oleh Virus Corona ,2020-04-01,april,2020
"SBY Siap Kembalikan Dana Bank Century Rp 6,7 Triliun untuk Bantu Covid-19 ",2020-04-01,april,2020
Akhirnya Ketangkap Juga Biang Penyebar Virus Corona dan Agen TKA China Ini ,2020-04-01,april,2020
Penjemputan Pasien Positif Covid-19 di Toko Buah Jalan Letjen S Parman 8 Jember ,2020-04-01,april,2020
Virus Corona Ciptaan FPI Bersaudara ,2020-04-01,april,2020
Jual Beli Bayi Mengatasnamakan Panti Asuhan Sakinah Depok ,2020-04-01,april,2020
Warga Selandia Baru Masuk Islam Karena Corona ,2020-04-01,april,2020
Jutaan Rokok Sampoerna Terpapar Covid-19 ,2020-04-01,april,2020
Karimun Zona Merah Covid-19 ,2020-04-01,april,2020
Begal Tertangkap di Kebalen ,2020-04-01,april,2020
"Setelah Adanya Covid-19 Umat Islam di Arab Banyak yang Murtad, Gereja Dibuka di ",2020-04-01,april,2020
Fatwa Wapres Menghina Jokowi soal Mudik dan Pulkam Neraka Jahanam Tempatnya ,2020-05-01,mei,2020
Relawan Uji Coba Vaksin Corona Dikabarkan Meninggal Dunia ,2020-05-01,mei,2020
Draf Harga BBM Baru Berlogo Pertamina ,2020-05-01,mei,2020
Info Resmi dari Polda DIY Terkait Modus Baru Tindak Kriminal ,2020-05-01,mei,2020
Korban Covid-19 di Aceh Hanya Satu Orang Karena Tetap Salat Berjamaah ,2020-05-01,mei,2020
Santri di Jalan Manurunge Watampone Kabupaten Bone Positif Corona ,2020-05-01,mei,2020
Orang Tergeletak Ditangani Tim Medis Pakai APD di Surade Sukabumi ,2020-05-01,mei,2020
